,urun_ad
4,ARMUT( Ankara )
6,AVAKADO
7,AYVA
12,BROKOLİ
13,BİBER (Cin)
14,BİBER (Dolma)
17,BİBER (Kıl)
18,BİBER (Sivri)
19,BİBER (Çarli)
22,BİBER Salçalık (Kapya)
26,DERE OTU (Bağ)
28,DOMATES (Muhtelif)
30,DOMATES (Salkım)
34,DOMATES (Çeri)
37,EKŞİ OT (Bağ)
40,ELMA (Golden)
43,ELMA (Muhtelif)
44,ELMA (Starking)
52,ERİK (Muhtelif)
53,FASULYE (Muhtelif)
55,FESLEĞEN(REYHAN)Bağ
57,GREYFURT
58,HAVUÇ
61,HİNDİSTAN CEVİZİ(Adet)
62,ISPANAK
63,KABAK (Bal)
64,KABAK (Beyaz)
65,KABAK (Kara)
67,KARNABAHAR
68,KARPUZ (Muhtelif)
70,KAVUN (Muhtelif)
74,KEREVİZ
81,KİVİ
83,LAHANA (Beyaz)
85,LAHANA (Mor)
94,MANTAR (Kültür)
95,MARUL (Aysberk)Adet
96,MARUL (Mor)Adet
97,MARUL (Muhtelif)Adet
99,MAYDONOZ (Bağ)
102,MUZ (Yerli)
103,MUZ (İthal)
105,NANE(Bağ)
111,PATATES
114,PATLICAN (Kemer)
115,PATLICAN (Topak)
118,PIRASA
121,PORTAKAL (Muhtelif)
124,ROKA(Bağ)
127,SALATALIK (Muhtelif)
128,SALATALIK (Silor)
130,SARIMSAK (Kuru)
132,SEMİZ OTU(Bağ)
134,SOGAN  ( Yeşil )
136,SOGAN (Kuru)
139,TERE
141,TURP (  Muhtelif )
150,ÇİLEK
151,ÜZÜM (Muhtelif)
