_id,tarih,urun_ad,birim,tur,en_dusuk_fiyat,en_yuksek_fiyat,ortalama_fiyat
3,2004-03-02T00:00:00,BAKLA,Kg,0,1.6,1.8,1.7000000000000002
9,2004-03-02T00:00:00,ELMA (Amasya),Kg,1,0.4,0.5,0.45
26,2004-03-02T00:00:00,NAR çekirdeksiz,Kg,1,0.6,0.75,0.675
30,2004-03-02T00:00:00,HIRTLAK,Kg,0,0.1,0.15,0.125
31,2004-03-02T00:00:00,DUT,Kg,1,2.0,2.5,2.25
38,2004-03-08T00:00:00,BAKLA,Kg,0,1.9,2.0,1.95
44,2004-03-08T00:00:00,ELMA (Amasya),Kg,1,0.4,0.6,0.5
45,2004-03-08T00:00:00,ELMA (İthal),Kg,1,0.0,1.0,0.5
54,2004-03-08T00:00:00,BAMYA,Kg,0,0.75,1.1,0.925
58,2004-03-08T00:00:00,CEVİZ,Kg,1,0.5,0.65,0.575
64,2004-03-11T00:00:00,BAKLA,Kg,0,0.8,1.1,0.9500000000000001
70,2004-03-11T00:00:00,ELMA (Amasya),Kg,1,0.4,0.5,0.45
71,2004-03-11T00:00:00,ELMA (İthal),Kg,1,0.0,1.0,0.5
86,2004-03-11T00:00:00,NAR çekirdeksiz,Kg,1,0.6,0.75,0.675
89,2004-03-11T00:00:00,HIRTLAK,Kg,0,0.2,0.3,0.25
90,2004-03-11T00:00:00,DUT,Kg,1,1.5,2.5,2.0
95,2004-03-18T00:00:00,BAKLA,Kg,0,1.0,1.2,1.1
113,2004-03-18T00:00:00,HIRTLAK,Kg,0,0.25,0.35,0.3
114,2004-03-18T00:00:00,DUT,Kg,1,2.0,2.5,2.25
117,2004-03-18T00:00:00,CEVİZ,Kg,1,0.7,0.9,0.8
119,2004-03-22T00:00:00,BAKLA,Kg,0,0.8,1.2,1.0
139,2004-03-25T00:00:00,BAKLA,Kg,0,0.6,0.85,0.725
145,2004-03-25T00:00:00,ELMA (İthal),Kg,1,0.9,1.1,1.0
155,2004-03-25T00:00:00,NAR çekirdeksiz,Kg,1,0.7,1.0,0.85
158,2004-03-25T00:00:00,HIRTLAK,Kg,0,0.2,0.3,0.25
159,2004-03-25T00:00:00,DUT,Kg,1,1.5,2.5,2.0
160,2004-03-25T00:00:00,CEVİZ,Kg,1,0.0,1.0,0.5
161,2004-03-25T00:00:00,DOMATES (Salçalık),Kg,0,0.7,0.9,0.8
166,2004-04-01T00:00:00,BAKLA,Kg,0,0.4,0.5,0.45
167,2004-04-01T00:00:00,BEZELYE (Araka),Kg,0,2.0,2.2,2.1
172,2004-04-01T00:00:00,ELMA (Amasya),Kg,1,0.5,0.7,0.6
173,2004-04-01T00:00:00,ELMA (İthal),Kg,1,0.8,1.0,0.9
175,2004-04-01T00:00:00,ENGİNAR(Adet),Adet,0,1.3,1.5,1.4
177,2004-04-01T00:00:00,ERİK (Can-Papaz),Kg,1,0.0,1.4,0.7
187,2004-04-01T00:00:00,NAR çekirdeksiz,Kg,1,0.6,0.8,0.7
