_id,tarih,urun_ad,birim,tur,en_dusuk_fiyat,en_yuksek_fiyat,ortalama_fiyat
635,2004-06-24T00:00:00,KİRAZ (Beyaz),Kg,1,0.0,0.2,0.1
674,2004-06-29T00:00:00,KİRAZ (Beyaz),Kg,1,0.0,0.16,0.08
715,2004-07-01T00:00:00,KİRAZ (Beyaz),Kg,1,0.0,0.2,0.1
751,2004-07-05T00:00:00,KİRAZ (Beyaz),Kg,1,0.0,0.17,0.085
792,2004-07-08T00:00:00,KİRAZ (Beyaz),Kg,1,0.0,0.23,0.115
827,2004-07-13T00:00:00,KİRAZ (Beyaz),Kg,1,0.0,0.3,0.15
865,2004-07-15T00:00:00,KİRAZ (Beyaz),Kg,1,0.0,0.38,0.19
906,2004-07-19T00:00:00,KİRAZ (Beyaz),Kg,1,0.4,0.5,0.45
943,2004-07-22T00:00:00,KİRAZ (Beyaz),Kg,1,0.0,0.5,0.25
980,2004-07-26T00:00:00,KİRAZ (Beyaz),Kg,1,0.42,0.45,0.435
1016,2004-07-29T00:00:00,KİRAZ (Beyaz),Kg,1,0.45,0.55,0.5
1055,2004-08-17T00:00:00,KİRAZ (Beyaz),Kg,1,0.0,0.25,0.125
1091,2004-08-20T00:00:00,KİRAZ (Beyaz),Kg,1,0.2,0.25,0.225
1131,2004-08-26T00:00:00,KİRAZ (Beyaz),Kg,1,0.18,0.25,0.215
1165,2004-08-31T00:00:00,KİRAZ (Beyaz),Kg,1,0.12,0.15,0.135
1207,2004-09-03T00:00:00,KİRAZ (Beyaz),Kg,1,0.1,0.2,0.15000000000000002
1257,2004-09-06T00:00:00,KİRAZ (Beyaz),Kg,1,0.12,0.17,0.14500000000000002
1310,2004-09-09T00:00:00,KİRAZ (Beyaz),Kg,1,0.1,0.15,0.125
1356,2004-09-13T00:00:00,KİRAZ (Beyaz),Kg,1,0.12,0.15,0.135
1391,2004-09-16T00:00:00,KİRAZ (Beyaz),Kg,1,0.1,0.15,0.125
1468,2004-09-20T00:00:00,KİRAZ (Beyaz),Kg,1,0.1,0.15,0.125
