urun_ad,adet,ortalama_fiyat
ARMUT (Santa Marina),104,24.504807692307693
BİBER (II),38,1.4342105263157894
BİBER Çarli (Yerli),187,1.7328877005347594
DOMATES (Salkım Kutu),70,25.685714285714287
Domates 2,2,6.25
ELMA (Arjantin),105,5.292857142857143
ELMA (Granny Smith),103,18.57281553398058
ELMA (II),111,0.9743243243243244
ELMA (YERLİ) Muhtelif,3,4.0
ELMA (YEŞİL),1,5.0
ERİK ( Anjelika ),149,25.92953020134228
ERİK (Freze),2,17.0
FINDIK TAZE,174,4.120689655172414
KARPUZ (İthal),24,3.797916666666667
KAVUN (İthal),22,10.534090909090908
KAYISI (Yerli),37,5.195945945945946
KIZILCIK,3,4.5
KİRAZ (Beyaz),194,1.0098969072164947
KİRAZ (Napolyon ),21,32.142857142857146
KİVİ (İthal ),45,108.33333333333333
LİMON (File ),104,9.586538461538462
LİMON (II),27,2.412962962962963
MANDALİN (II),13,1.7192307692307693
NEKTARİ,140,20.27857142857143
NOHUT (Taze),199,1.64321608040201
PATATES (taze),38,3.914473684210526
PORTAKAL (II),30,0.6216666666666667
PORTAKAL (Sıkmalık ),85,9.070588235294117
SALATALIK (II),26,0.9153846153846155
SEMİZ OTU(Bağ) yerli,40,1.2825000000000002
SOGAN (Göğer),182,5.1450549450549445
SOĞAN (II),21,0.8309523809523811
TURP KIRMIZI (yerli),24,1.4791666666666667
VİŞNE,8,18.5625
VİŞNE (yerli),172,3.0569767441860463
soğan yeşil (yerli),74,3.550675675675676
ÇAĞLA,104,10.170673076923077
İNCİR ( Siyah ),15,54.233333333333334
ŞEFTALİ YERLİ,2,5.0
