_id,tarih,urun_ad,birim,tur,en_dusuk_fiyat,en_yuksek_fiyat,ortalama_fiyat
14,2004-03-02T00:00:00,ISPANAK,Kg,0,0.3,0.7,0.5
50,2004-03-08T00:00:00,ISPANAK,Kg,0,0.35,0.5,0.425
77,2004-03-11T00:00:00,ISPANAK,Kg,0,0.3,0.65,0.475
103,2004-03-18T00:00:00,ISPANAK,Kg,0,0.3,0.55,0.425
178,2004-04-01T00:00:00,ISPANAK,Kg,0,0.3,0.5,0.4
231,2004-04-12T00:00:00,ISPANAK,Kg,0,0.25,0.4,0.325
258,2004-04-15T00:00:00,ISPANAK,Kg,0,0.3,0.6,0.4499999999999999
283,2004-04-20T00:00:00,ISPANAK,Kg,0,0.3,0.4,0.35
302,2004-04-22T00:00:00,ISPANAK,Kg,0,0.45,0.65,0.55
328,2004-05-07T00:00:00,ISPANAK,Kg,0,0.5,0.75,0.625
371,2004-05-10T00:00:00,ISPANAK,Kg,0,0.5,0.8,0.65
411,2004-05-20T00:00:00,ISPANAK,Kg,0,0.3,0.35,0.3249999999999999
450,2004-05-24T00:00:00,ISPANAK,Kg,0,0.6,0.7,0.6499999999999999
486,2004-05-31T00:00:00,ISPANAK,Kg,0,0.65,0.8,0.7250000000000001
525,2004-06-10T00:00:00,ISPANAK,Kg,0,0.4,0.5,0.45
563,2004-06-17T00:00:00,ISPANAK,Kg,0,0.0,0.7,0.35
600,2004-06-21T00:00:00,ISPANAK,Kg,0,0.4,0.6,0.5
632,2004-06-24T00:00:00,ISPANAK,Kg,0,0.0,0.6,0.3
671,2004-06-29T00:00:00,ISPANAK,Kg,0,0.0,0.6,0.3
711,2004-07-01T00:00:00,ISPANAK,Kg,0,0.0,0.7,0.35
748,2004-07-05T00:00:00,ISPANAK,Kg,0,0.0,0.7,0.35
788,2004-07-08T00:00:00,ISPANAK,Kg,0,0.0,0.7,0.35
824,2004-07-13T00:00:00,ISPANAK,Kg,0,0.0,0.75,0.375
861,2004-07-15T00:00:00,ISPANAK,Kg,0,0.0,0.7,0.35
902,2004-07-19T00:00:00,ISPANAK,Kg,0,0.0,0.9,0.45
940,2004-07-22T00:00:00,ISPANAK,Kg,0,0.0,0.7,0.35
977,2004-07-26T00:00:00,ISPANAK,Kg,0,0.5,0.7,0.6
1013,2004-07-29T00:00:00,ISPANAK,Kg,0,0.6,0.7,0.6499999999999999
1050,2004-08-17T00:00:00,ISPANAK,Kg,0,0.0,0.75,0.375
1088,2004-08-20T00:00:00,ISPANAK,Kg,0,0.4,0.6,0.5
1128,2004-08-26T00:00:00,ISPANAK,Kg,0,0.0,0.6,0.3
1162,2004-08-31T00:00:00,ISPANAK,Kg,0,0.55,0.7,0.625
1204,2004-09-03T00:00:00,ISPANAK,Kg,0,0.6,0.8,0.7
1254,2004-09-06T00:00:00,ISPANAK,Kg,0,0.6,0.8,0.7
1306,2004-09-09T00:00:00,ISPANAK,Kg,0,0.6,0.7,0.6499999999999999
1352,2004-09-13T00:00:00,ISPANAK,Kg,0,0.5,0.6,0.55
1389,2004-09-16T00:00:00,ISPANAK,Kg,0,0.6,0.7,0.6499999999999999
1427,2004-09-20T00:00:00,ISPANAK,Kg,0,0.5,0.6,0.55
1480,2004-09-23T00:00:00,ISPANAK,Kg,0,0.4,0.6,0.5
1519,2004-09-27T00:00:00,ISPANAK,Kg,0,0.3,0.4,0.35
1555,2004-09-30T00:00:00,ISPANAK,Kg,0,0.6,0.9,0.75
1636,2004-10-07T00:00:00,ISPANAK,Kg,0,0.5,0.7,0.6
1681,2004-10-11T00:00:00,ISPANAK,Kg,0,0.4,0.6,0.5
1728,2004-10-14T00:00:00,ISPANAK,Kg,0,0.4,0.6,0.5
1770,2004-10-18T00:00:00,ISPANAK,Kg,0,0.4,0.45,0.425
1815,2004-10-21T00:00:00,ISPANAK,Kg,0,0.4,0.6,0.5
1858,2004-10-25T00:00:00,ISPANAK,Kg,0,0.4,0.5,0.45
1899,2004-10-28T00:00:00,ISPANAK,Kg,0,0.5,0.6,0.55
1941,2004-11-01T00:00:00,ISPANAK,Kg,0,0.5,0.65,0.575
1983,2004-11-04T00:00:00,ISPANAK,Kg,0,0.5,0.65,0.575
2024,2004-11-08T00:00:00,ISPANAK,Kg,0,0.3,0.4,0.35
2068,2004-11-11T00:00:00,ISPANAK,Kg,0,0.35,0.6,0.475
