Start Date,16 Yaşını Dolduranlar için Net Asgari Ücret
1996-08-01,11.339.802
1997-08-01,23.474.588
1998-08-01,33.808.514
1998-10-01,34.573.946
1999-01-01,58.948.065
1999-07-01,70.222.320
1999-08-16,70.110.000
2000-01-01,82.417.500
2000-04-01,80.550.900
2000-06-01,80.550.900
2000-07-01,86.922.900
2001-01-01,102.369.600
2001-04-01,102.369.600
2001-07-01,107.323.830
2001-08-01,122.186.520
2002-01-01,163.563.536
2002-04-01,163.563.536
2002-07-01,184.251.937
2003-01-01,225.999.000
2003-04-01,225.999.000
2003-07-01,225.999.000
2004-01-01,303.079.500
2004-07-01,318.233.475
2005-01-01,35015
2006-01-01,38046
2007-01-01,40303
2007-07-01,41915
2008-01-01,48155
2008-07-01,50326
2009-01-01,52713
2009-07-01,54648
2010-01-01,57657
2010-07-01,59912
2011-01-01,62996
2011-03-01,62996
2011-07-01,65895
2012-01-01,70113
2012-07-01,73979
2013-01-01,77301
2013-07-01,80368
2014-01-01,84600
2014-07-01,89103
2015-01-01,94907
2015-07-01,1.00054
2016-01-01,1.30099
2017-01-01,1.40406
2018-01-01,1.60312
2019-01-01,2.02090
2020-01-01,2.32471
2021-01-01,2.82590
2022-01-01,4.25340
2022-07-01,5.50035
2023-01-01,8.50680
