,urun_ad,ortalama_fiyat,tur
0,BROKOLİ,5.983925374540658,Sebze
1,BİBER (Cin),9.38099597392638,Sebze
2,BİBER (Dolma),5.878708133971292,Sebze
3,BİBER (Kıl),8.49454679439941,Sebze
4,BİBER (Sivri),5.545877339262553,Sebze
5,BİBER (Çarli),4.916048558002395,Sebze
6,BİBER Salçalık (Kapya),7.7001936885865465,Sebze
7,DERE OTU (Bağ),1.198015100982027,Sebze
8,DOMATES (Muhtelif),4.425150032314653,Sebze
9,DOMATES (Salkım),5.750853338334584,Sebze
10,DOMATES (Çeri),7.149985948477752,Sebze
11,EKŞİ OT (Bağ),1.0898200801715299,Sebze
12,FASULYE (Muhtelif),8.501096673117685,Sebze
13,FESLEĞEN(REYHAN)Bağ,1.6910795612975185,Sebze
14,HAVUÇ,2.837819248826291,Sebze
15,ISPANAK,3.531868360277136,Sebze
16,KABAK (Bal),1.739429880990672,Sebze
17,KABAK (Beyaz),3.862589017991005,Sebze
18,KABAK (Kara),3.8369419853079676,Sebze
19,KARNABAHAR,3.6728474284072403,Sebze
20,KEREVİZ,2.734966191386153,Sebze
21,LAHANA (Beyaz),1.9043189057522953,Sebze
22,LAHANA (Mor),2.5734226246033227,Sebze
23,MANTAR (Kültür),13.561524300441826,Sebze
24,MARUL (Aysberk)Adet,7.289648023587948,Sebze
25,MARUL (Mor)Adet,7.239641277641279,Sebze
26,MARUL (Muhtelif)Adet,6.3412128362435105,Sebze
27,MAYDONOZ (Bağ),0.9836795446061964,Sebze
28,NANE(Bağ),1.2119066382347488,Sebze
29,PATATES,3.1304183719872665,Sebze
30,PATLICAN (Kemer),4.324164217487142,Sebze
31,PATLICAN (Topak),4.458635987495403,Sebze
32,PIRASA,3.047516830046061,Sebze
33,ROKA(Bağ),1.1222577654149282,Sebze
34,SALATALIK (Muhtelif),3.6166411966286933,Sebze
35,SALATALIK (Silor),4.67014666419913,Sebze
36,SARIMSAK (Kuru),16.231082464631424,Sebze
37,SEMİZ OTU(Bağ),2.0622239674766702,Sebze
38,SOGAN  ( Yeşil ),6.073569023569024,Sebze
39,SOGAN (Kuru),2.549005561315864,Sebze
40,TERE,1.1266746743047213,Sebze
41,TURP (  Muhtelif ),1.8403455284552845,Sebze
0,ARMUT( Ankara ),4.527199456205088,Meyve
1,AVAKADO,7.805335203637419,Meyve
2,AYVA,4.492434633519074,Meyve
3,ELMA (Golden),5.718512910423971,Meyve
4,ELMA (Muhtelif),4.512276084949215,Meyve
5,ELMA (Starking),5.894104308390022,Meyve
6,ERİK (Muhtelif),7.524280256515213,Meyve
7,GREYFURT,1.8642998515586344,Meyve
8,HİNDİSTAN CEVİZİ(Adet),8.188156440022112,Meyve
9,KARPUZ (Muhtelif),2.8312614584758515,Meyve
10,KAVUN (Muhtelif),4.116360004842029,Meyve
11,KİVİ,9.524767441860465,Meyve
12,MUZ (Yerli),7.296612754158965,Meyve
13,MUZ (İthal),62.55116140286449,Meyve
14,PORTAKAL (Muhtelif),4.322729461619955,Meyve
15,ÇİLEK,12.774714421703951,Meyve
16,ÜZÜM (Muhtelif),10.248743030421597,Meyve
