_id,tarih,urun_ad,birim,tur,en_dusuk_fiyat,en_yuksek_fiyat,ortalama_fiyat
23,2004-03-02T00:00:00,MUZ (İthal),Kg,1,2.0,2.3,2.15
83,2004-03-11T00:00:00,MUZ (İthal),Kg,1,2.2,2.5,2.35
109,2004-03-18T00:00:00,MUZ (İthal),Kg,1,2.0,2.4,2.2
133,2004-03-22T00:00:00,MUZ (İthal),Kg,1,2.1,2.2,2.1500000000000004
153,2004-03-25T00:00:00,MUZ (İthal),Kg,1,2.0,2.5,2.25
208,2004-04-05T00:00:00,MUZ (İthal),Kg,1,2.4,2.7,2.55
238,2004-04-12T00:00:00,MUZ (İthal),Kg,1,2.8,3.1,2.95
263,2004-04-15T00:00:00,MUZ (İthal),Kg,1,2.5,2.9,2.7
338,2004-05-07T00:00:00,MUZ (İthal),Kg,1,2.45,2.5,2.475
381,2004-05-10T00:00:00,MUZ (İthal),Kg,1,2.45,2.6,2.5250000000000004
422,2004-05-20T00:00:00,MUZ (İthal),Kg,1,2.4,2.8,2.6
460,2004-05-24T00:00:00,MUZ (İthal),Kg,1,2.4,2.5,2.45
497,2004-05-31T00:00:00,MUZ (İthal),Kg,1,2.4,2.6,2.5
533,2004-06-10T00:00:00,MUZ (İthal),Kg,1,2.4,2.7,2.55
572,2004-06-17T00:00:00,MUZ (İthal),Kg,1,0.0,2.6,1.3
608,2004-06-21T00:00:00,MUZ (İthal),Kg,1,0.0,23.5,11.75
642,2004-06-24T00:00:00,MUZ (İthal),Kg,1,0.0,2.5,1.25
681,2004-06-29T00:00:00,MUZ (İthal),Kg,1,0.0,2.5,1.25
722,2004-07-01T00:00:00,MUZ (İthal),Kg,1,0.0,2.5,1.25
758,2004-07-05T00:00:00,MUZ (İthal),Kg,1,0.0,2.5,1.25
798,2004-07-08T00:00:00,MUZ (İthal),Kg,1,0.0,2.4,1.2
834,2004-07-13T00:00:00,MUZ (İthal),Kg,1,0.0,2.5,1.25
872,2004-07-15T00:00:00,MUZ (İthal),Kg,1,0.0,2.3,1.15
950,2004-07-22T00:00:00,MUZ (İthal),Kg,1,0.0,2.3,1.15
987,2004-07-26T00:00:00,MUZ (İthal),Kg,1,0.25,0.26,0.255
1023,2004-07-29T00:00:00,MUZ (İthal),Kg,1,0.25,0.26,0.255
1061,2004-08-17T00:00:00,MUZ (İthal),Kg,1,0.0,2.3,1.15
1097,2004-08-20T00:00:00,MUZ (İthal),Kg,1,2.1,2.25,2.175
1137,2004-08-26T00:00:00,MUZ (İthal),Kg,1,0.0,2.5,1.25
1170,2004-08-31T00:00:00,MUZ (İthal),Kg,1,2.1,2.2,2.1500000000000004
1213,2004-09-03T00:00:00,MUZ (İthal),Kg,1,2.2,2.3,2.25
1263,2004-09-06T00:00:00,MUZ (İthal),Kg,1,2.0,2.2,2.1
